framework_id,framework_name,framework_description,criterion_id,criterion_name,criterion_description,weight_percent,level,level_label,level_description
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-rigor,Rigor — Thinking Depth,Depth of analysis: does the rep reframe the problem or stay on the surface?,20,1,Poor,"Surface-level, reactive. Accepts the client's framing without probing."
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-rigor,Rigor — Thinking Depth,Depth of analysis: does the rep reframe the problem or stay on the surface?,20,2,Below Average,Occasional probes but mostly takes surface answers at face value.
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-rigor,Rigor — Thinking Depth,Depth of analysis: does the rep reframe the problem or stay on the surface?,20,3,Adequate,Some structure and limited probing. Asks follow-ups but doesn't pressure-test.
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-rigor,Rigor — Thinking Depth,Depth of analysis: does the rep reframe the problem or stay on the surface?,20,4,Good,Structured analysis with meaningful probes that test assumptions.
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-rigor,Rigor — Thinking Depth,Depth of analysis: does the rep reframe the problem or stay on the surface?,20,5,Excellent,Deep analysis that reframes the problem — client sees their situation in a new way.
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-relevance,Relevance — Application,"How well the rep contextualizes everything to this customer's specific reality, not a generic pitch.",20,1,Poor,"Generic, product-first. Same pitch regardless of audience."
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-relevance,Relevance — Application,"How well the rep contextualizes everything to this customer's specific reality, not a generic pitch.",20,2,Below Average,"Minor tailoring, mostly boilerplate with surface references to the client."
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-relevance,Relevance — Application,"How well the rep contextualizes everything to this customer's specific reality, not a generic pitch.",20,3,Adequate,Some tailoring to industry or role.
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-relevance,Relevance — Application,"How well the rep contextualizes everything to this customer's specific reality, not a generic pitch.",20,4,Good,"Tailored to the stakeholder's role, KPIs, and specific context."
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-relevance,Relevance — Application,"How well the rep contextualizes everything to this customer's specific reality, not a generic pitch.",20,5,Excellent,Fully contextualized to the customer's reality — feels built for them and their situation.
