framework_id,framework_name,framework_description,criterion_id,criterion_name,criterion_description,weight_percent,level,level_label,level_description
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-business-context,Business Context Understanding,Demonstrates knowledge of client's financial situation and industry pressures,20,1,Poor,No awareness of client's business model or financials
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-business-context,Business Context Understanding,Demonstrates knowledge of client's financial situation and industry pressures,20,2,Below Average,Surface-level understanding only
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-business-context,Business Context Understanding,Demonstrates knowledge of client's financial situation and industry pressures,20,3,Adequate,Shows general industry knowledge
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-business-context,Business Context Understanding,Demonstrates knowledge of client's financial situation and industry pressures,20,4,Good,References specific financial metrics relevant to client
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-business-context,Business Context Understanding,Demonstrates knowledge of client's financial situation and industry pressures,20,5,Excellent,Deep understanding of P&L impact and competitive pressures
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-roi,ROI & Value Quantification,Builds a credible business case with specific numbers,30,1,Poor,No attempt to quantify value
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-roi,ROI & Value Quantification,Builds a credible business case with specific numbers,30,2,Below Average,Vague claims about savings or revenue
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-roi,ROI & Value Quantification,Builds a credible business case with specific numbers,30,3,Adequate,General ROI framework but no client-specific numbers
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-roi,ROI & Value Quantification,Builds a credible business case with specific numbers,30,4,Good,Specific ROI calculation tied to client's metrics
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-roi,ROI & Value Quantification,Builds a credible business case with specific numbers,30,5,Excellent,Compelling multi-year business case with payback period
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-tco,Total Cost of Ownership,"Addresses implementation costs, hidden costs, and long-term value",25,1,Poor,Avoids or ignores cost discussions
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-tco,Total Cost of Ownership,"Addresses implementation costs, hidden costs, and long-term value",25,2,Below Average,Only discusses license price
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-tco,Total Cost of Ownership,"Addresses implementation costs, hidden costs, and long-term value",25,3,Adequate,Mentions implementation but minimizes costs
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-tco,Total Cost of Ownership,"Addresses implementation costs, hidden costs, and long-term value",25,4,Good,Transparent TCO discussion with mitigation strategies
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-tco,Total Cost of Ownership,"Addresses implementation costs, hidden costs, and long-term value",25,5,Excellent,Proactively builds TCO model showing long-term advantage
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-stakeholder,CFO / Finance Stakeholder Language,Speaks in terms finance leaders understand and care about,25,1,Poor,Only uses technical or product language
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-stakeholder,CFO / Finance Stakeholder Language,Speaks in terms finance leaders understand and care about,25,2,Below Average,Occasional financial terms but out of context
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-stakeholder,CFO / Finance Stakeholder Language,Speaks in terms finance leaders understand and care about,25,3,Adequate,Uses financial language but doesn't fully connect
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-stakeholder,CFO / Finance Stakeholder Language,Speaks in terms finance leaders understand and care about,25,4,Good,"Fluent in financial language, ties to margin and growth"
financial-acumen,Financial Acumen,"Evaluates ability to speak the language of business outcomes, ROI, and financial impact.",fa-stakeholder,CFO / Finance Stakeholder Language,Speaks in terms finance leaders understand and care about,25,5,Excellent,"Speaks like a business partner, not a vendor"
