framework_id,framework_name,framework_description,criterion_id,criterion_name,criterion_description,weight_percent,level,level_label,level_description
challenger-sale,Challenger Sale,"Evaluates teaching, tailoring, and taking control of the sales conversation.",cs-teach,Teach — Commercial Insight,Delivers a unique insight that reframes how the client thinks about their problem,35,1,Poor,"No insight, just product information"
challenger-sale,Challenger Sale,"Evaluates teaching, tailoring, and taking control of the sales conversation.",cs-teach,Teach — Commercial Insight,Delivers a unique insight that reframes how the client thinks about their problem,35,2,Below Average,Shares information client already knows
challenger-sale,Challenger Sale,"Evaluates teaching, tailoring, and taking control of the sales conversation.",cs-teach,Teach — Commercial Insight,Delivers a unique insight that reframes how the client thinks about their problem,35,3,Adequate,Interesting data point but doesn't reframe thinking
challenger-sale,Challenger Sale,"Evaluates teaching, tailoring, and taking control of the sales conversation.",cs-teach,Teach — Commercial Insight,Delivers a unique insight that reframes how the client thinks about their problem,35,4,Good,Insight challenges an assumption and creates urgency
challenger-sale,Challenger Sale,"Evaluates teaching, tailoring, and taking control of the sales conversation.",cs-teach,Teach — Commercial Insight,Delivers a unique insight that reframes how the client thinks about their problem,35,5,Excellent,Compelling reframe that makes client rethink their approach
challenger-sale,Challenger Sale,"Evaluates teaching, tailoring, and taking control of the sales conversation.",cs-tailor,Tailor — Message Resonance,Adapts the message to the specific stakeholder's priorities and language,30,1,Poor,"Generic pitch, same for every audience"
challenger-sale,Challenger Sale,"Evaluates teaching, tailoring, and taking control of the sales conversation.",cs-tailor,Tailor — Message Resonance,Adapts the message to the specific stakeholder's priorities and language,30,2,Below Average,"Minor customization, mostly boilerplate"
challenger-sale,Challenger Sale,"Evaluates teaching, tailoring, and taking control of the sales conversation.",cs-tailor,Tailor — Message Resonance,Adapts the message to the specific stakeholder's priorities and language,30,3,Adequate,References client's industry but not their specific role
challenger-sale,Challenger Sale,"Evaluates teaching, tailoring, and taking control of the sales conversation.",cs-tailor,Tailor — Message Resonance,Adapts the message to the specific stakeholder's priorities and language,30,4,Good,Message resonates with stakeholder's personal KPIs
challenger-sale,Challenger Sale,"Evaluates teaching, tailoring, and taking control of the sales conversation.",cs-tailor,Tailor — Message Resonance,Adapts the message to the specific stakeholder's priorities and language,30,5,Excellent,Perfectly tailored narrative that feels built just for them
challenger-sale,Challenger Sale,"Evaluates teaching, tailoring, and taking control of the sales conversation.",cs-control,Take Control — Constructive Tension,"Pushes back respectfully, holds firm on value, drives the deal forward",35,1,Poor,Caves immediately on pushback or goes silent
challenger-sale,Challenger Sale,"Evaluates teaching, tailoring, and taking control of the sales conversation.",cs-control,Take Control — Constructive Tension,"Pushes back respectfully, holds firm on value, drives the deal forward",35,2,Below Average,Accommodates every request without pushback
challenger-sale,Challenger Sale,"Evaluates teaching, tailoring, and taking control of the sales conversation.",cs-control,Take Control — Constructive Tension,"Pushes back respectfully, holds firm on value, drives the deal forward",35,3,Adequate,Holds ground but doesn't advance the conversation
challenger-sale,Challenger Sale,"Evaluates teaching, tailoring, and taking control of the sales conversation.",cs-control,Take Control — Constructive Tension,"Pushes back respectfully, holds firm on value, drives the deal forward",35,4,Good,Respectful pushback that builds credibility and momentum
challenger-sale,Challenger Sale,"Evaluates teaching, tailoring, and taking control of the sales conversation.",cs-control,Take Control — Constructive Tension,"Pushes back respectfully, holds firm on value, drives the deal forward",35,5,Excellent,Creates productive tension that accelerates the decision
