framework_id,framework_name,framework_description,criterion_id,criterion_name,criterion_description,weight_percent,level,level_label,level_description
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-metrics,Metrics,Uncovers and validates the quantifiable measures of success,18,1,Poor,No attempt to identify success metrics
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-metrics,Metrics,Uncovers and validates the quantifiable measures of success,18,2,Below Average,Asks about goals but not specific KPIs
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-metrics,Metrics,Uncovers and validates the quantifiable measures of success,18,3,Adequate,Identifies some metrics but doesn't validate them
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-metrics,Metrics,Uncovers and validates the quantifiable measures of success,18,4,Good,Clear metrics tied to business outcomes
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-metrics,Metrics,Uncovers and validates the quantifiable measures of success,18,5,Excellent,Validated metrics with baseline and target numbers
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-economic-buyer,Economic Buyer,Identifies and engages the person with budget authority,18,1,Poor,No awareness of who controls the budget
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-economic-buyer,Economic Buyer,Identifies and engages the person with budget authority,18,2,Below Average,Assumes current contact is the decision maker
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-economic-buyer,Economic Buyer,Identifies and engages the person with budget authority,18,3,Adequate,Asks who else is involved but doesn't map power
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-economic-buyer,Economic Buyer,Identifies and engages the person with budget authority,18,4,Good,Identifies economic buyer and plans engagement
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-economic-buyer,Economic Buyer,Identifies and engages the person with budget authority,18,5,Excellent,Maps buying committee and tailors approach to EB
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-decision-criteria,Decision Criteria,Understands how the client will evaluate and choose a solution,16,1,Poor,No questions about evaluation criteria
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-decision-criteria,Decision Criteria,Understands how the client will evaluate and choose a solution,16,2,Below Average,Assumes price is the only factor
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-decision-criteria,Decision Criteria,Understands how the client will evaluate and choose a solution,16,3,Adequate,Asks about criteria but doesn't influence them
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-decision-criteria,Decision Criteria,Understands how the client will evaluate and choose a solution,16,4,Good,Maps criteria and positions solution against each
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-decision-criteria,Decision Criteria,Understands how the client will evaluate and choose a solution,16,5,Excellent,Shapes criteria in favor of unique differentiators
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-decision-process,Decision Process,"Maps the buying process, timeline, and approval steps",16,1,Poor,No understanding of how decisions get made
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-decision-process,Decision Process,"Maps the buying process, timeline, and approval steps",16,2,Below Average,Asks about timeline only
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-decision-process,Decision Process,"Maps the buying process, timeline, and approval steps",16,3,Adequate,General sense of process but gaps in understanding
meddic,MEDDIC,"Evaluates qualification rigor: Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion.",md-decision-process,Decision Process,"Maps the buying process, timeline, and approval steps",16,4,Good,Clear process map with milestones and owners
