framework_id,framework_name,framework_description,criterion_id,criterion_name,criterion_description,weight_percent,level,level_label,level_description
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-account-knowledge,Account & Industry Knowledge,"Demonstrates deep understanding of the account's strategy, market, and competitive landscape",25,1,Poor,No preparation or account knowledge evident
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-account-knowledge,Account & Industry Knowledge,"Demonstrates deep understanding of the account's strategy, market, and competitive landscape",25,2,Below Average,Basic company info only
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-account-knowledge,Account & Industry Knowledge,"Demonstrates deep understanding of the account's strategy, market, and competitive landscape",25,3,Adequate,Knows industry trends but not account-specific strategy
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-account-knowledge,Account & Industry Knowledge,"Demonstrates deep understanding of the account's strategy, market, and competitive landscape",25,4,Good,References account's strategic priorities and market position
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-account-knowledge,Account & Industry Knowledge,"Demonstrates deep understanding of the account's strategy, market, and competitive landscape",25,5,Excellent,Insight-level knowledge that impresses the client
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-relationship,Relationship Mapping & Expansion,Navigates stakeholder relationships and expands influence within the account,25,1,Poor,"Single-threaded, no awareness of other stakeholders"
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-relationship,Relationship Mapping & Expansion,Navigates stakeholder relationships and expands influence within the account,25,2,Below Average,Knows of others but hasn't engaged them
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-relationship,Relationship Mapping & Expansion,Navigates stakeholder relationships and expands influence within the account,25,3,Adequate,Multi-threaded but relationships are shallow
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-relationship,Relationship Mapping & Expansion,Navigates stakeholder relationships and expands influence within the account,25,4,Good,Strong multi-threaded relationships across departments
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-relationship,Relationship Mapping & Expansion,Navigates stakeholder relationships and expands influence within the account,25,5,Excellent,Trusted advisor status with executive sponsorship
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-value-creation,Long-term Value Creation,"Positions as a strategic partner, not just a vendor",25,1,Poor,"Transactional approach, product-focused only"
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-value-creation,Long-term Value Creation,"Positions as a strategic partner, not just a vendor",25,2,Below Average,Tries to upsell without strategic context
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-value-creation,Long-term Value Creation,"Positions as a strategic partner, not just a vendor",25,3,Adequate,Some strategic vision but not connected to client goals
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-value-creation,Long-term Value Creation,"Positions as a strategic partner, not just a vendor",25,4,Good,Clear partnership vision aligned with client's roadmap
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-value-creation,Long-term Value Creation,"Positions as a strategic partner, not just a vendor",25,5,Excellent,Co-creates strategic value that transforms the account
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-execution,Execution & Follow-through,"Demonstrates reliability, follow-up discipline, and action orientation",25,1,Poor,No follow-up commitments or action items
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-execution,Execution & Follow-through,"Demonstrates reliability, follow-up discipline, and action orientation",25,2,Below Average,Vague promises with no specifics
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-execution,Execution & Follow-through,"Demonstrates reliability, follow-up discipline, and action orientation",25,3,Adequate,Action items identified but not locked down
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-execution,Execution & Follow-through,"Demonstrates reliability, follow-up discipline, and action orientation",25,4,Good,"Clear actions with owners, dates, and accountability"
strategic-mgmt,Strategic Management,"Evaluates strategic account planning, relationship depth, and long-term value creation.",sm-execution,Execution & Follow-through,"Demonstrates reliability, follow-up discipline, and action orientation",25,5,Excellent,Proactive follow-through plan that builds confidence
