framework_id,framework_name,framework_description,criterion_id,criterion_name,criterion_description,weight_percent,level,level_label,level_description
my-framework-id,My Framework Name,Short description of what this rubric evaluates.,mf-criterion-1,First Criterion Name,What this criterion measures in one sentence.,50,1,Poor,What a Poor performance looks like.
my-framework-id,My Framework Name,Short description of what this rubric evaluates.,mf-criterion-1,First Criterion Name,What this criterion measures in one sentence.,50,2,Below Average,What a Below Average performance looks like.
my-framework-id,My Framework Name,Short description of what this rubric evaluates.,mf-criterion-1,First Criterion Name,What this criterion measures in one sentence.,50,3,Adequate,What an Adequate performance looks like.
my-framework-id,My Framework Name,Short description of what this rubric evaluates.,mf-criterion-1,First Criterion Name,What this criterion measures in one sentence.,50,4,Good,What a Good performance looks like.
my-framework-id,My Framework Name,Short description of what this rubric evaluates.,mf-criterion-1,First Criterion Name,What this criterion measures in one sentence.,50,5,Excellent,What an Excellent performance looks like.
my-framework-id,My Framework Name,Short description of what this rubric evaluates.,mf-criterion-2,Second Criterion Name,What this criterion measures in one sentence.,50,1,Poor,...
my-framework-id,My Framework Name,Short description of what this rubric evaluates.,mf-criterion-2,Second Criterion Name,What this criterion measures in one sentence.,50,2,Below Average,...
my-framework-id,My Framework Name,Short description of what this rubric evaluates.,mf-criterion-2,Second Criterion Name,What this criterion measures in one sentence.,50,3,Adequate,...
my-framework-id,My Framework Name,Short description of what this rubric evaluates.,mf-criterion-2,Second Criterion Name,What this criterion measures in one sentence.,50,4,Good,...
my-framework-id,My Framework Name,Short description of what this rubric evaluates.,mf-criterion-2,Second Criterion Name,What this criterion measures in one sentence.,50,5,Excellent,...
